file,part,table_num,rows,cols,has_mass_percent,has_mol_percent,has_molality,has_mole_fraction,has_phase_info,has_temperature,has_concentration,has_solubility,has_ratio,numeric_count
SDS-31_Part3_table_017.csv,Part3,017,9,12,False,False,False,False,True,False,False,False,False,47
SDS-31_Part3_table_018.csv,Part3,018,5,11,False,False,False,False,True,False,False,False,False,46
SDS-31_Part3_table_019.csv,Part3,019,19,11,True,False,False,False,True,False,False,False,False,88
SDS-31_Part3_table_020.csv,Part3,020,23,10,True,True,False,False,True,False,False,False,False,133
SDS-31_Part3_table_022.csv,Part3,022,40,12,True,False,True,False,True,False,False,False,False,150
SDS-31_Part3_table_023.csv,Part3,023,12,30,True,False,False,False,True,False,False,False,False,67
SDS-31_Part3_table_024.csv,Part3,024,10,7,False,False,False,False,True,False,False,False,False,25
SDS-31_Part3_table_025.csv,Part3,025,9,6,False,False,False,False,False,False,False,False,False,51
SDS-31_Part3_table_026.csv,Part3,026,10,6,False,False,False,False,True,False,False,False,False,39
SDS-31_Part3_table_027.csv,Part3,027,22,6,True,False,True,False,True,False,False,False,False,87
SDS-31_Part3_table_028.csv,Part3,028,25,11,True,False,True,False,True,False,False,False,False,115
SDS-31_Part3_table_029.csv,Part3,029,14,8,False,False,True,False,True,True,False,False,False,66
SDS-31_Part3_table_030.csv,Part3,030,13,8,False,False,False,False,True,False,False,False,False,75
SDS-31_Part3_table_031.csv,Part3,031,21,7,False,False,False,False,False,False,False,False,False,147
SDS-31_Part3_table_032.csv,Part3,032,47,8,False,False,False,False,True,True,False,False,False,319
SDS-31_Part3_table_033.csv,Part3,033,12,8,False,False,False,False,True,True,False,False,False,78
SDS-31_Part3_table_034.csv,Part3,034,11,8,False,False,False,False,True,False,False,False,False,63
SDS-31_Part3_table_035.csv,Part3,035,19,9,True,False,True,False,False,False,False,False,False,92
SDS-31_Part3_table_036.csv,Part3,036,21,7,True,False,True,False,True,True,False,False,False,89
SDS-31_Part3_table_037.csv,Part3,037,28,8,False,False,False,False,True,False,False,False,False,140
SDS-31_Part3_table_038.csv,Part3,038,13,11,False,False,False,False,True,False,False,False,False,49
SDS-31_Part3_table_039.csv,Part3,039,16,9,False,False,False,False,False,False,False,False,False,53
SDS-31_Part3_table_040.csv,Part3,040,12,6,False,False,False,False,True,False,False,False,False,51
SDS-31_Part3_table_041.csv,Part3,041,20,8,False,False,False,False,True,False,False,False,False,110
SDS-31_Part3_table_042.csv,Part3,042,3,7,False,False,False,False,True,False,False,False,False,12
SDS-31_Part3_table_043.csv,Part3,043,9,9,False,False,False,False,True,False,False,False,False,49
SDS-31_Part3_table_044.csv,Part3,044,15,8,False,False,False,False,True,False,False,False,False,75
SDS-31_Part3_table_045.csv,Part3,045,20,11,True,False,True,False,True,False,False,False,False,115
SDS-31_Part3_table_046.csv,Part3,046,10,7,True,False,True,False,True,False,False,False,False,13
SDS-31_Part3_table_047.csv,Part3,047,18,10,False,False,False,False,True,True,False,False,False,154
SDS-31_Part3_table_048.csv,Part3,048,27,10,False,False,False,False,True,False,False,False,False,212
SDS-31_Part3_table_049.csv,Part3,049,21,17,True,False,True,False,True,False,False,False,False,102
SDS-31_Part3_table_050.csv,Part3,050,3,8,False,False,False,False,True,False,False,False,False,16
SDS-31_Part3_table_051.csv,Part3,051,12,10,False,False,False,False,True,False,False,False,False,62
SDS-31_Part3_table_052.csv,Part3,052,9,15,False,False,False,False,True,False,False,False,False,47
SDS-31_Part3_table_053.csv,Part3,053,9,11,False,False,False,False,True,False,False,False,False,63
SDS-31_Part4_table_001.csv,Part4,001,8,8,True,False,True,False,True,False,False,False,False,34
SDS-31_Part4_table_002.csv,Part4,002,8,11,False,False,False,False,True,False,False,False,False,56
SDS-31_Part4_table_003.csv,Part4,003,12,10,True,False,True,False,True,False,False,False,False,71
SDS-31_Part4_table_004.csv,Part4,004,22,11,False,False,False,False,True,False,False,False,False,118
SDS-31_Part4_table_005.csv,Part4,005,37,7,False,False,False,False,True,False,False,False,False,216
SDS-31_Part4_table_006.csv,Part4,006,9,8,False,False,False,False,True,False,False,False,False,35
SDS-31_Part4_table_007.csv,Part4,007,13,8,True,False,False,False,True,False,False,False,False,92
SDS-31_Part4_table_008.csv,Part4,008,17,8,False,False,False,False,True,False,False,False,False,69
SDS-31_Part4_table_009.csv,Part4,009,4,3,False,False,False,False,False,False,False,False,False,12
SDS-31_Part4_table_010.csv,Part4,010,19,8,False,False,False,False,True,False,False,False,False,106
SDS-31_Part4_table_011.csv,Part4,011,24,7,True,False,True,False,True,False,False,False,False,139
SDS-31_Part4_table_012.csv,Part4,012,22,9,False,False,False,False,True,False,False,False,False,176
SDS-31_Part4_table_013.csv,Part4,013,6,10,False,False,False,False,True,False,False,False,False,48
SDS-31_Part4_table_014.csv,Part4,014,6,9,False,False,False,False,True,False,False,False,False,37
SDS-31_Part4_table_015.csv,Part4,015,7,8,False,False,False,False,False,False,False,False,False,49
SDS-31_Part4_table_016.csv,Part4,016,21,8,True,False,False,False,True,True,False,False,False,114
SDS-31_Part4_table_017.csv,Part4,017,16,10,True,False,False,False,True,True,False,False,False,111
SDS-31_Part4_table_018.csv,Part4,018,18,11,False,False,False,False,False,False,False,False,False,98
